,category,urls
0,Smartphones,"['https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2130986&productName=Motorola%20Edge%2030%20Ultra%205G#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300500&productName=Motorola%20%20G73%20256GB%205G#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300448&productName=Nokia%20G42%20128GB%205G%20Grijs#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300249&productName=Samsung%20Galaxy%20Z%20Flip5%20256GB#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300253&productName=Samsung%20Galaxy%20Z%20Flip5%20512GB#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300257&productName=Samsung%20Galaxy%20Z%20Fold5%20256GB#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300260&productName=Samsung%20Galaxy%20Z%20Fold5%20512GB#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2129879&productName=Xiaomi%2012T%20128GB%20Black#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128994&productName=Apple%20iPhone%2014#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300185&productName=OnePlus%20CE%203%20lite#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2126483&productName=Samsung%20Galaxy%20Z%20FLip4%205G#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2126491&productName=Samsung%20Galaxy%20Z%20Fold4%205G#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300178&productName=Samsung%20Galaxy%20A34%205G%20128GB%20+%20Galaxy%20Watch4%2040mm%20LTE#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300001&productName=OnePlus%2011%205G#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300063&productName=Xiaomi%20Redmi%20Note%2012#/category=Smartphones/pageNo=2', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124682&productName=OnePlus%20Nord%20CE%202%20Lite%205G%20EU#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2115881&productName=Xiaomi%2011T%205G#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2109782&productName=OnePlus%209#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2121687&productName=OPPO%20FIND%20X5%20LITE%205G%20BLACK#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119481&productName=Samsung%20Galaxy%20S21%20FE%205G#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2120888&productName=Samsung%20Galaxy%20S22%20Ultra%205G#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2130000&productName=Samsung%20Galaxy%20S22%20Ultra%20Black%20Duo%20Bundel%20+%20Galaxy%20Watch5#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2122990&productName=Apple%20iPhone%20SE%205G#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124684&productName=OnePlus%20Nord%202T%205G%20EU#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2122785&productName=Xiaomi%20Redmi%20Note%2011%20Pro%205G#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2121179&productName=Samsung%20Galaxy%20S21%20FE%20EE%205G#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2120779&productName=Samsung%20Galaxy%20S22%205G#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2100482&productName=Apple%20iPhone%2011%202020#/category=Smartphones/pageNo=5', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2125681&productName=Apple%20iPhone%20SE%20met%20Earpods#/category=Smartphones/pageNo=5']"
1,Smartwatches,"['https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300590&productName=Apple%20Apple%20Watch%20Ultra%202%20GPS#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300596&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2045mm%20Midnight%20Aluminium%20Case%20with%20Midnight%20Sport%20Band%20-%20S/M#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300594&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2045mm%20Midnight%20Aluminium%20Case%20with%20Midnight%20Sport%20Band%20-%20M/L#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300587&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2045mm%20Midnight%20Aluminium%20Case%20with%20Midnight%20Sport%20Loop#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300589&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2045mm%20Pink%20Aluminium%20Case%20with%20Light%20Pink%20Sport%20Band%20-%20S/M#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300584&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2045mm%20Pink%20Aluminium%20Case%20with%20Light%20Pink%20Sport%20Band%20-%20M/L#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300595&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2041mm%20Starlight%20Aluminium%20Case%20with%20Starlight%20Sport%20Band%20-%20S/M#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300585&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2041mm%20Starlight%20Aluminium%20Case%20with%20Starlight%20Sport%20Band%20-%20M/L#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300586&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2041mm%20Starlight%20Aluminium%20Case%20with%20Starlight%20Sport%20Loop#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300588&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2041mm%20Pink%20Aluminium%20Case%20with%20Light%20Pink%20Sport%20Band%20-%20S/M#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300592&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2041mm%20Pink%20Aluminium%20Case%20with%20Light%20Pink%20Sport%20Band%20-%20M/L#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300597&productName=Apple%20Watch%20Series%C2%A09%20GPS%20+%20Cellular%2041mm%20Pink%20Aluminium%20Case%20with%20Light%20Pink%20Sport%20Loop#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300319&productName=Samsung%20Galaxy%20Watch6%20Small%20LTE%20-%20Cream#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300320&productName=Samsung%20Galaxy%20Watch6%20Large%20LTE%20-%20Graphite#/category=Smartwatches/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300321&productName=Samsung%20Galaxy%20Watch6%20Classic%20Small%20LTE%20Black#/category=Smartwatches/pageNo=1']"
2,Tablets,"['https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300316&productName=Samsung%20Galaxy%20TAB%20S9%205G%20128GB%20Graphite#/category=Tablets/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300317&productName=Samsung%20Galaxy%20TAB%20S9+%205G%20256GB%20Graphite#/category=Tablets/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300318&productName=Samsung%20Galaxy%20TAB%20S9%20Ultra%205G%20256GB%20Graphite#/category=Tablets/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119979&productName=Samsung%20Galaxy%20TAB%20S6%20Lite%20LTE#/category=Tablets/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2116135&productName=Apple%20iPad%202021%20WI-FI#/category=Tablets/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2121279&productName=Samsung%20Galaxy%20TAB%20A8%20%20+%20booklet%20cover#/category=Tablets/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2130587&productName=Apple%20iPad%202022%205G#/category=Tablets/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2130681&productName=Apple%20iPad%202022%205G#/category=Tablets/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2120903&productName=Samsung%20Galaxy%20TAB%20S8%20Ultra%205G#/category=Tablets/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2116136&productName=Apple%20iPad%202021%204G#/category=Tablets/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2119580&productName=Emporia%20Tablet%204G/LTE%2032GB%20-%20Zwart#/category=Tablets/pageNo=1']"
3,TV_&_Audio,"['https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300177&productName=TCL%20QLED%20TV%2065C745%204K%20(2023)%20-%2065%20inch%20#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300179&productName=Samsung%20QLED%20TV%20QE55Q80%20-%2055%20inch#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2126593&productName=TCL%20LED%20TV%2055P735%20-%2055%20inch#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300180&productName=Samsung%20QLED%20TV%20QE65Q80%20-%2065%20inch#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300181&productName=Samsung%20QLED%20TV%20QE55QN85%20-%2055%20inch%20#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300176&productName=TCL%20QLED%20TV%2055C745%204K%20(2023)%20-%2055%20inch%20#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300199&productName=LG%20LED%20TV%2065UQ81006LB#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300200&productName=LG%20OLED%20TV%20OLED48C24LA#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300174&productName=TCL%20LED%20TV%2032S5400AF%20-%2032%20inch#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300175&productName=TCL%20LED%20TV%2043P735%20-%2043%20inch#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124782&productName=Google%20Chromecast%20with%20Google%20TV#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2110880&productName=Sony%20PlayStation%204%20Slim%20500GB%20Black#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128979&productName=Google%20Chromecast%20with%20Google%20TV%20HD%202K#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2088182&productName=Samsung%20QE55Q60TASXXN#/category=TV%20&%20Audio/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2121598&productName=LG%2032LQ630B#/category=TV%20&%20Audio/pageNo=1']"
4,Smart_Home,"['https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128980&productName=Philips%20Hue%20starterkit%20-%20wit%20en%20gekleurd%20-%202%20lampen%20-%20E27%20-%201100lm#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128981&productName=Philips%20Hue%20Starterkit%203%20lampen%20(E27-1100lm)%20-%20Warm%20tot%20koelwit%20licht%20+%201%20dimmer%20switch#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128982&productName=Philips%20Hue%20starterkit%20-%20wit%20en%20gekleurd%20-%203%20lampen%20-%20E27%20-%201100lm%20-%201%20dimmer%20switch#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2128993&productName=Philips%20Hue%20starterkit%20-%20warmwit%20licht%20-%203%20lampen%20-%20E27%20-%201100lm%20-%201%20dimmer%20switch#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2129079&productName=Philips%20Hue%20starterkit%20-%20wit%20en%20gekleurd%20-%202%20lampen%20-%20E27%20-%201100lm%20-%201%20dimmer%20switch#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124783&productName=Google%20Google%20Nest%20Mini%20Rock%20Candy#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124685&productName=Google%20Google%20Nest%20Hub%202nd%20Gen%20-%20Charcoal#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124686&productName=Google%20New%20Nest%20Doorbell#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124784&productName=Google%20New%20Google%20Nest%20Cam#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2124785&productName=Google%20New%20Nest%20Cam%202%20pack#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2087279&productName=Ring%20CHIME%20Gen.%202#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2110979&productName=Nuki%20Power%20pack#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2118085&productName=Ring%20Ring%20Stick%20Up%20Cam%20Battery%20-%20White#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=2087180&productName=Nuki%20COMBO%202.0#/category=Smart%20Home/pageNo=1', 'https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300019&productName=Apple%20HomePod#/category=Smart%20Home/pageNo=1']"
5,Home_Office,
