product_id;brand;memory;smartphone_price;smartphone_promo_price;link;model;model_spec
3300527;Apple;1000 GB;1.979, €;1.779, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300527&productName=Apple iPhone 15 Pro Max#/category=Smartphones/pageNo=1;iPhone 15;iPhone 15 Pro Max
3300526;Apple;256 GB;1.249, €;1.149, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300526&productName=Apple iPhone 15 Plus#/category=Smartphones/pageNo=1;iPhone 15;iPhone 15 Plus
3300526;Apple;128 GB;1.119, €;1.019, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300526&productName=Apple iPhone 15 Plus#/category=Smartphones/pageNo=1;iPhone 15;iPhone 15 Plus
3300530;Apple;512 GB;1.349, €;1.229, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300530&productName=Apple iPhone 15#/category=Smartphones/pageNo=1;iPhone 15;iPhone 15
2129001;Apple;1000 GB;1.829, €;1.659, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2129001&productName=Apple iPhone 14 Pro#/category=Smartphones/pageNo=1;iPhone 14;iPhone 14 Pro
3300530;Apple;256 GB;1.099, €;999, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=3300530&productName=Apple iPhone 15#/category=Smartphones/pageNo=1;iPhone 15;iPhone 15
2100191;Apple;256 GB;1.149, €;1.129, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2100191&productName=Apple iPhone 12 Pro#/category=Smartphones/pageNo=4;iPhone 12;iPhone 12 Pro
2100185;Apple;128 GB;649, €;599, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2100185&productName=Apple iPhone 12#/category=Smartphones/pageNo=4;iPhone 12;iPhone 12
2129001;Apple;512 GB;1.599, €;1.429, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2129001&productName=Apple iPhone 14 Pro#/category=Smartphones/pageNo=1;iPhone 14;iPhone 14 Pro
2123003;Emporia;128 MB;79, €;39, €;https://www2.telenet.be/residential/nl/toestellen/details?productId=2123003&productName=Emporia SIMPLICITY GLAM 4G#/category=Smartphones/pageNo=3;SIMPLICITY GLAM;SIMPLICITY GLAM 4G
