,product_id,model,color,memory,price_regular,price_for_clients,link
0,3300174, TCL LED TV 32S5400AF - 32 inch  ,Zwart,," € 249,00 ",169,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300174&productName=TCL%20LED%20TV%2032S5400AF%20-%2032%20inch#/category=One%20toestel%20promo/pageNo=1
1,3300387, Samsung Galaxy A54 + Galaxy Watch4 pack ,Zwart,128 GB," € 708,00 ",449,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300387&productName=Samsung%20Galaxy%20A54%20+%20Galaxy%20Watch4%20pack#/category=One%20toestel%20promo/pageNo=1
2,3300308, OnePlus Nord 3 128GB 5G Misty Green + 80W charger ,Groen,128 GB," € 449,00 ",359,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300308&productName=OnePlus%20Nord%203%205G#/category=One%20toestel%20promo/pageNo=1
3,3300308, OnePlus  Nord 3 128GB 5G Tempest Gray + 80W charger ,Grijs,128 GB," € 449,00 ",359,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300308&productName=OnePlus%20Nord%203%205G#/category=One%20toestel%20promo/pageNo=1
4,3300308, OnePlus Nord 3 256GB 5G Tempest Gray + 80W charger ,Grijs,256 GB," € 549,00 ",399,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300308&productName=OnePlus%20Nord%203%205G#/category=One%20toestel%20promo/pageNo=1
