,product_id,model,color,memory,price_regular,price_for_clients,link
0,3300389, Apple Refurbished Apple iPhone 12 64GB Zwart ,Zwart,64 GB," € 569,00 ",499,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300389&productName=Apple%20Refurbished%20Apple%20iPhone%2012%2064GB%20Zwart#/category=ECO%20friendly/pageNo=1
1,3300448, Nokia G42 128GB 5G Grijs ,Grijs,128 GB," € 249,00 ",179,https://www2.telenet.be/residential/nl/toestellen/details?intcmp=ToestNav&productId=3300448&productName=Nokia%20G42%20128GB%205G%20Grijs#/category=ECO%20friendly/pageNo=1
